2012-10-16 23:01:25 status half-installed libbz2-1.0:armhf 1.0.6-4
2012-10-16 23:01:25 status unpacked libbz2-1.0:armhf 1.0.6-4
2012-10-16 23:01:25 status unpacked libbz2-1.0:armhf 1.0.6-4
2012-10-16 23:01:25 install libc-bin:armhf <none> 2.15-0ubuntu20
2012-10-16 23:01:25 status half-installed libc-bin:armhf 2.15-0ubuntu20
2012-10-16 23:01:26 status unpacked libc-bin:armhf 2.15-0ubuntu20
2012-10-16 23:01:26 status unpacked libc-bin:armhf 2.15-0ubuntu20
2012-10-16 23:01:26 upgrade libc6:armhf 2.15-0ubuntu20 2.15-0ubuntu20
2012-10-16 23:01:26 status half-configured libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:26 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:26 status half-installed libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:27 status half-installed libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:27 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:27 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:27 install libcomerr2:armhf <none> 1.42.5-1ubuntu2
2012-10-16 23:01:27 status half-installed libcomerr2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:27 status unpacked libcomerr2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:27 status unpacked libcomerr2:armhf 1.42.5-1ubuntu2
2012-10-16 23:01:27 install libdb5.1:armhf <none> 5.1.29-5ubuntu2
2012-10-16 23:01:27 status half-installed libdb5.1:armhf 5.1.29-5ubuntu2
2012-10-16 23:01:28 status unpacked libdb5.1:armhf 5.1.29-5ubuntu2
2012-10-16 23:01:28 status unpacked libdb5.1:armhf 5.1.29-5ubuntu2
2012-10-16 23:01:28 install libdbus-1-3:armhf <none> 1.6.4-1ubuntu4
2012-10-16 23:01:28 status half-installed libdbus-1-3:armhf 1.6.4-1ubuntu4
2012-10-16 23:01:28 status unpacked libdbus-1-3:armhf 1.6.4-1ubuntu4
2012-10-16 23:01:28 status unpacked libdbus-1-3:armhf 1.6.4-1ubuntu4
2012-10-16 23:01:28 install libdrm-nouveau1a:armhf <none> 2.4.39-0ubuntu1
2012-10-16 23:01:28 status half-installed libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
